lower,upper,single,mfj,mfs,hoh
83551,83651,4213,2086,4213,2389
83651,83751,4223,2092,4223,2395
83751,83851,4232,2098,4232,2401
83851,83951,4241,2104,4241,2409
83951,84051,4251,2110,4251,2417
84051,84151,4260,2116,4260,2425
84151,84251,4269,2122,4269,2433
84251,84351,4279,2128,4279,2441
84351,84451,4288,2134,4288,2449
84451,84551,4297,2140,4297,2457
84551,84651,4306,2146,4306,2465
84651,84751,4316,2152,4316,2473
84751,84851,4325,2158,4325,2481
84851,84951,4334,2164,4334,2489
84951,85051,4344,2170,4344,2497
85051,85151,4353,2176,4353,2505
85151,85251,4362,2182,4362,2513
85251,85351,4372,2188,4372,2521
85351,85451,4381,2194,4381,2529
85451,85551,4390,2200,4390,2537
85551,85651,4399,2206,4399,2545
85651,85751,4409,2212,4409,2553
85751,85851,4418,2218,4418,2561
85851,85951,4427,2224,4427,2569
85951,86051,4437,2230,4437,2577
86051,86151,4446,2236,4446,2585
86151,86251,4455,2242,4455,2593
86251,86351,4465,2248,4465,2601
86351,86451,4474,2254,4474,2609
86451,86551,4483,2260,4483,2617
86551,86651,4492,2266,4492,2625
86651,86751,4502,2272,4502,2633
86751,86851,4511,2278,4511,2641
86851,86951,4520,2284,4520,2649
86951,87051,4530,2290,4530,2657
87051,87151,4539,2296,4539,2665
87151,87251,4548,2302,4548,2673
87251,87351,4558,2308,4558,2681
87351,87451,4567,2314,4567,2689
87451,87551,4576,2320,4576,2697
87551,87651,4585,2326,4585,2705
87651,87751,4595,2332,4595,2713
87751,87851,4604,2338,4604,2721
87851,87951,4613,2344,4613,2729
87951,88051,4623,2350,4623,2737
88051,88151,4632,2356,4632,2745
88151,88251,4641,2362,4641,2753
88251,88351,4651,2368,4651,2761
88351,88451,4660,2374,4660,2769
88451,88551,4669,2380,4669,2777
88551,88651,4678,2386,4678,2785
88651,88751,4688,2392,4688,2793
88751,88851,4697,2398,4697,2801
88851,88951,4706,2404,4706,2809
88951,89051,4716,2410,4716,2817
89051,89151,4725,2416,4725,2825
89151,89251,4734,2422,4734,2833
89251,89351,4744,2428,4744,2841
89351,89451,4753,2434,4753,2849
89451,89551,4762,2440,4762,2857
89551,89651,4771,2446,4771,2865
89651,89751,4781,2452,4781,2873
89751,89851,4790,2458,4790,2881
89851,89951,4799,2464,4799,2889
89951,90051,4809,2470,4809,2897
90051,90151,4818,2476,4818,2905
90151,90251,4827,2482,4827,2913
90251,90351,4837,2488,4837,2921
90351,90451,4846,2494,4846,2929
90451,90551,4855,2500,4855,2937
90551,90651,4864,2506,4864,2945
90651,90751,4874,2512,4874,2953
90751,90851,4883,2518,4883,2961
90851,90951,4892,2524,4892,2969
90951,91051,4902,2530,4902,2977
91051,91151,4911,2536,4911,2985
91151,91251,4920,2542,4920,2993
91251,91351,4930,2548,4930,3001
91351,91451,4939,2554,4939,3009
91451,91551,4948,2560,4948,3017
91551,91651,4957,2566,4957,3025
91651,91751,4967,2572,4967,3033
91751,91851,4976,2578,4976,3041
91851,91951,4985,2584,4985,3049
91951,92051,4995,2590,4995,3057
92051,92151,5004,2596,5004,3065
92151,92251,5013,2602,5013,3073
92251,92351,5023,2608,5023,3081
92351,92451,5032,2614,5032,3089
92451,92551,5041,2620,5041,3097
92551,92651,5050,2626,5050,3105
92651,92751,5060,2632,5060,3113
92751,92851,5069,2638,5069,3121
92851,92951,5078,2644,5078,3129
92951,93051,5088,2650,5088,3137
93051,93151,5097,2656,5097,3145
93151,93251,5106,2662,5106,3153
93251,93351,5116,2668,5116,3161
93351,93451,5125,2674,5125,3169
93451,93551,5134,2680,5134,3177
93551,93651,5143,2686,5143,3185
93651,93751,5153,2692,5153,3193
93751,93851,5162,2698,5162,3201
93851,93951,5171,2704,5171,3209
93951,94051,5181,2710,5181,3217
94051,94151,5190,2716,5190,3225
94151,94251,5199,2722,5199,3233
94251,94351,5209,2728,5209,3241
94351,94451,5218,2734,5218,3249
94451,94551,5227,2740,5227,3257
94551,94651,5236,2746,5236,3265
94651,94751,5246,2752,5246,3273
94751,94851,5255,2758,5255,3281
94851,94951,5264,2764,5264,3289
94951,95051,5274,2770,5274,3297
95051,95151,5283,2776,5283,3305
95151,95251,5292,2782,5292,3313
95251,95351,5302,2788,5302,3321
95351,95451,5311,2794,5311,3329
95451,95551,5320,2800,5320,3337
95551,95651,5329,2806,5329,3345
95651,95751,5339,2812,5339,3353
95751,95851,5348,2818,5348,3361
95851,95951,5357,2824,5357,3369
95951,96051,5367,2830,5367,3377
96051,96151,5376,2836,5376,3385
96151,96251,5385,2842,5385,3393
96251,96351,5395,2848,5395,3401
96351,96451,5404,2854,5404,3409
96451,96551,5413,2860,5413,3417
96551,96651,5422,2866,5422,3425
96651,96751,5432,2872,5432,3433
96751,96851,5441,2878,5441,3441
96851,96951,5450,2884,5450,3449
96951,97051,5460,2890,5460,3457
97051,97151,5469,2896,5469,3465
97151,97251,5478,2902,5478,3473
97251,97351,5488,2908,5488,3481
97351,97451,5497,2914,5497,3489
97451,97551,5506,2920,5506,3497
97551,97651,5515,2926,5515,3505
97651,97751,5525,2932,5525,3513
97751,97851,5534,2938,5534,3521
97851,97951,5543,2944,5543,3529
97951,98051,5553,2950,5553,3537
98051,98151,5562,2956,5562,3545
98151,98251,5571,2962,5571,3553
98251,98351,5581,2968,5581,3561
98351,98451,5590,2974,5590,3569
98451,98551,5599,2980,5599,3577
98551,98651,5608,2986,5608,3585
98651,98751,5618,2992,5618,3593
98751,98851,5627,2998,5627,3601
98851,98951,5636,3004,5636,3609
98951,99051,5646,3010,5646,3617
99051,99151,5655,3016,5655,3627
99151,99251,5664,3022,5664,3636
99251,99351,5674,3028,5674,3645
99351,99451,5683,3034,5683,3655
99451,99551,5692,3040,5692,3664
99551,99651,5701,3046,5701,3673
99651,99751,5711,3052,5711,3682
99751,99851,5720,3058,5720,3692
99851,99951,5729,3064,5729,3701
99951,100000,5736,3068,5736,3708
